Wall time,Step,Value
1658251425.3104808,27880,-0.26530611515045166
1658251954.0682986,105944,-0.2199999988079071
1658252788.5246422,228616,-0.10000000149011612
1658253052.1970158,267648,-0.07000000029802322
1658253089.9654615,273224,-0.07000000029802322
1658253623.7297075,351288,-0.14000000059604645
1658253663.6510017,356864,-0.17000000178813934
1658253971.254446,401472,-0.10000000149011612
1658254200.666538,434928,-0.10000000149011612
1658254393.7703161,462808,-0.09000000357627869
1658254666.3169653,501840,-0.11999999731779099
1658255043.601846,557600,-0.18000000715255737
1658255197.8174565,579904,-0.10999999940395355
1658255347.949294,602208,-0.11999999731779099
1658255873.1150272,680272,-0.15000000596046448
1658256139.764045,719304,-0.10999999940395355
1658256215.6130369,730456,-0.10999999940395355
1658256741.545148,808520,-0.10000000149011612
1658256855.8980916,825248,-0.07999999821186066
1658257241.1700408,881008,-0.03999999910593033
1658257353.0756187,897736,-0.03999999910593033
1658257429.8487253,908888,-0.019999999552965164
1658257506.4015853,920040,-0.05999999865889549
1658257810.7112439,964648,-0.10999999940395355
1658258536.2807314,1070592,-0.09000000357627869
1658258993.209061,1137504,-0.05000000074505806
1658259071.4703517,1148656,-0.05000000074505806
1658260005.1653004,1282480,-0.09000000357627869
1658260575.9065824,1366120,-0.009999999776482582
1658260612.6424599,1371696,-0.05999999865889549
1658261105.772751,1444184,-0.03999999910593033
1658261145.111122,1449760,-0.009999999776482582
1658261602.7132356,1516672,0.019999999552965164
1658261717.5231476,1533400,-0.03999999910593033
1658262020.9094603,1578008,-0.03999999910593033
1658262136.7985685,1594736,0.019999999552965164
1658262519.518992,1650496,-0.03999999910593033
1658263327.4495983,1767592,-0.019999999552965164
1658263437.3954027,1784320,-0.029999999329447746
1658263552.8910768,1801048,-0.05999999865889549
1658264479.177924,1934872,-0.029999999329447746
1658264979.3617728,2001784,-0.009999999776482582
1658265225.687007,2035240,0.0
1658265305.8597617,2046392,0.019999999552965164
1658265788.7946992,2113304,-0.05000000074505806
1658266117.9579744,2157912,-0.029999999329447746
1658266278.1356356,2180216,-0.05999999865889549
1658266357.9709082,2191368,-0.12999999523162842
1658266764.5632854,2247128,-0.07000000029802322
1658266844.3874059,2258280,-0.10000000149011612
1658267294.5990915,2319616,0.009999999776482582
1658267581.7372475,2358648,-0.10999999940395355
1658268154.680038,2436712,0.009999999776482582
1658268197.2067978,2442288,-0.019999999552965164
1658268273.926112,2453440,-0.07000000029802322
1658268546.7268887,2492472,-0.03999999910593033
1658269126.1593454,2576112,-0.019999999552965164
1658269282.512768,2598416,-0.019999999552965164
1658269630.0417385,2648600,0.05000000074505806
1658269670.4194183,2654176,0.03999999910593033
1658269863.9564679,2682056,0.019999999552965164
1658269901.1713939,2687632,0.03999999910593033
1658270133.1154728,2721088,0.029999999329447746
1658271025.7075255,2849336,-0.05000000074505806
1658271102.701335,2860488,-0.05999999865889549
1658271143.2177045,2866064,-0.029999999329447746
1658271181.9646082,2871640,-0.03999999910593033
1658271297.6520905,2888368,-0.009999999776482582
1658271920.0447447,2977584,-0.029999999329447746
1658272041.3162081,2994312,0.07000000029802322
1658272122.788301,3005464,-0.019999999552965164
