Wall time,Step,Value
1658047453.6396813,25690,-0.17894737422466278
1658047553.5868556,117728,-0.10000000149011612
1658047721.8258252,269875,-0.2199999988079071
1658047781.0545344,327582,-0.1899999976158142
1658047788.406871,334020,-0.14000000059604645
1658047899.1812847,427610,-0.12999999523162842
1658047906.6332278,434479,-0.17000000178813934
1658047936.346171,460003,-0.18000000715255737
1658047964.2332551,482031,-0.3199999928474426
1658048014.0836852,519686,-0.23999999463558197
1658048048.3229547,547982,-0.05999999865889549
1658048104.4809344,592756,-0.07999999821186066
1658048188.4116197,667816,-0.25
1658048217.8742282,694538,-0.20999999344348907
1658048245.9899912,719147,-0.07000000029802322
1658048351.9591916,808573,-0.05999999865889549
1658048380.9517965,834275,-0.07000000029802322
1658048389.6086347,843794,-0.03999999910593033
1658048403.7149282,856172,-0.03999999910593033
1658048422.274743,869267,-0.05999999865889549
1658048527.255213,956964,-0.07999999821186066
1658048547.0811882,972779,-0.10000000149011612
1658048628.2543993,1038045,-0.07000000029802322
1658048652.3722107,1060885,-0.10999999940395355
1658048667.0524254,1073670,-0.10000000149011612
1658048681.4359725,1086549,-0.07000000029802322
1658048753.0076401,1152192,-0.07999999821186066
1658048796.3913503,1189545,-0.2199999988079071
1658048923.8655355,1303839,-0.15000000596046448
1658049029.9162946,1400774,-0.18000000715255737
1658049047.0941033,1417422,-0.17000000178813934
1658049119.255293,1481520,-0.20000000298023224
1658049265.8368182,1613550,-0.20999999344348907
1658049405.0261362,1733033,-0.17000000178813934
1658049412.7886724,1739262,-0.2199999988079071
1658049526.770606,1838859,-0.11999999731779099
1658049535.008958,1846194,-0.14000000059604645
1658049644.0732627,1942939,-0.1599999964237213
1658049670.8674338,1969274,-0.10000000149011612
1658049748.0947719,2036853,-0.05000000074505806
1658049779.1069405,2060273,-0.12999999523162842
1658049826.3985023,2104087,-0.14000000059604645
1658049871.007464,2145035,-0.15000000596046448
1658049997.1768987,2256176,-0.09000000357627869
1658050066.8690343,2320997,-0.09000000357627869
1658050085.479913,2338836,-0.10000000149011612
1658050098.3388677,2345239,-0.12999999523162842
1658050125.9545183,2372660,-0.07999999821186066
1658050344.7038295,2571322,-0.12999999523162842
1658050354.5363212,2580841,-0.10000000149011612
1658050470.445392,2680570,-0.10000000149011612
1658050531.35396,2733991,-0.05000000074505806
1658050539.796,2741083,-0.10999999940395355
1658050549.7819061,2750602,-0.10999999940395355
1658050666.4040453,2850036,-0.12999999523162842
1658050744.9527354,2917277,-0.12999999523162842
1658050782.3921976,2951875,-0.07999999821186066
1658050800.923015,2969009,-0.10000000149011612
1658050899.5765684,3056830,-0.05999999865889549
1658050922.83015,3073480,-0.07999999821186066
1658051033.1913207,3166210,-0.09000000357627869
1658051096.052545,3222808,-0.12999999523162842
1658051232.0896356,3338028,-0.09000000357627869
1658051240.5081124,3345443,-0.14000000059604645
1658051259.0144606,3362332,-0.1599999964237213
1658051327.3916683,3420365,-0.14000000059604645
1658051465.4346035,3538396,-0.1899999976158142
1658051500.8539026,3570009,-0.20999999344348907
1658051586.769811,3643283,-0.12999999523162842
1658051595.422,3650884,-0.14000000059604645
1658051644.1111574,3691762,-0.15000000596046448
1658051653.362747,3699293,-0.20000000298023224
1658051710.7744987,3746461,-0.20999999344348907
1658051928.4880567,3932498,-0.15000000596046448
1658051946.3821864,3947738,-0.1599999964237213
1658051954.5952706,3954175,-0.20999999344348907
1658051964.1110437,3963491,-0.15000000596046448
1658051989.147093,3983580,-0.23000000417232513
1658052011.565575,3998632,-0.23000000417232513
1658052142.9188795,4109992,-0.12999999523162842
1658052151.9105382,4118225,-0.10000000149011612
1658052169.0779293,4133039,-0.09000000357627869
1658052187.036834,4149119,-0.14000000059604645
1658052214.407889,4162310,-0.17000000178813934
1658052250.081573,4194327,-0.11999999731779099
1658052268.2456484,4210703,-0.09000000357627869
1658052326.0588446,4257123,-0.15000000596046448
1658052362.0871296,4287920,-0.17000000178813934
1658052420.0223305,4334638,-0.15000000596046448
1658052437.6105802,4349838,-0.15000000596046448
1658052473.127083,4382039,-0.10999999940395355
1658052628.8087401,4508053,-0.12999999523162842
1658052684.4624438,4557470,-0.12999999523162842
1658052725.467307,4588306,-0.14000000059604645
1658052743.4359078,4603431,-0.12999999523162842
1658052919.3888516,4739256,-0.12999999523162842
1658053000.2210803,4806417,-0.18000000715255737
1658053050.5385482,4845401,-0.12999999523162842
1658053059.212701,4852625,-0.15000000596046448
1658053136.2144103,4914161,-0.23999999463558197
1658053190.0144904,4959965,-0.23999999463558197
1658053199.3126953,4968727,-0.23000000417232513
1658053335.652145,5080475,-0.09000000357627869
1658053427.1853645,5151346,-0.20000000298023224
1658053501.148627,5212621,-0.1899999976158142
1658053515.8887808,5221553,-0.15000000596046448
1658053667.887521,5348932,-0.17000000178813934
1658053684.7337673,5362623,-0.1599999964237213
1658053927.3059447,5545048,-0.30000001192092896
1658053966.593877,5570944,-0.25
1658053991.6063786,5589904,-0.23000000417232513
1658054018.1142707,5606508,-0.25
1658054130.12388,5684310,-0.25
1658054299.251311,5801977,-0.23000000417232513
1658054390.3056955,5861659,-0.23999999463558197
1658054397.8039393,5866018,-0.2199999988079071
1658054448.0192983,5893778,-0.2199999988079071
1658054490.8707533,5918797,-0.2199999988079071
1658054619.4504297,5991909,-0.23999999463558197
1658054627.5200222,5996524,-0.30000001192092896
1658054643.0581582,6005939,-0.30000001192092896
1658054737.295058,6061878,-0.23000000417232513
1658054838.6189506,6123001,-0.36000001430511475
1658054903.4329863,6164304,-0.27000001072883606
1658055035.6685002,6246543,-0.27000001072883606
1658055075.7014644,6269183,-0.23000000417232513
1658055104.9854045,6286447,-0.2800000011920929
1658055145.6289032,6309284,-0.2800000011920929
1658055259.7408886,6374858,-0.28999999165534973
1658055343.8922443,6422562,-0.25
1658055373.2000608,6439318,-0.2199999988079071
1658055596.9071925,6569254,-0.33000001311302185
1658055611.3819573,6577322,-0.36000001430511475
1658055689.175086,6622219,-0.20000000298023224
1658055742.3848047,6651988,-0.3400000035762787
1658055855.3250349,6727629,-0.2800000011920929
1658056136.6112912,6898664,-0.30000001192092896
1658056163.1208196,6911655,-0.2800000011920929
1658056177.9699945,6920522,-0.2800000011920929
1658056264.784382,6975353,-0.20000000298023224
1658056316.9276261,7007120,-0.30000001192092896
1658056349.1307971,7025004,-0.27000001072883606
1658056365.1089373,7035265,-0.2199999988079071
1658056434.9565408,7075892,-0.25
1658056577.721746,7161247,-0.36000001430511475
1658056689.042816,7225308,-0.25
1658056696.851889,7230148,-0.25
1658056711.8773866,7239167,-0.25
1658056742.4957259,7258705,-0.18000000715255737
1658056810.866834,7299614,-0.30000001192092896
1658056906.1825888,7359350,-0.2199999988079071
1658056939.515578,7378306,-0.23999999463558197
